,ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion
0,51336,Masquerading Mistress,160.0,Romance,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
1,35113,Ruin - Part Two,100.0,Romance,Ninguno,mas de 3000,Ingles,300-500,Antes del 2000
2,23444,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",20.0,Policial,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
3,41937,Revealed,20.0,Romance,Fantasia,0-1000,Ingles,mas de 500,Antes del 2012 
4,32209,OMG! Is This Actually My Life?,100.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2000
5,41394,The Essential Edgar Cayce,100.0,Biopic,Ninguno,0-1000,Ingles,300-500,Antes del 2000
6,36336,Forever My Love,160.0,Romance,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
7,35452,"They Marched Into Sunlight: War And Peace, Vietnam And America, October 1967",100.0,Guerra,Ninguno,0-1000,Ingles,300-500,Antes del 2000
8,35300,Sync: The Emerging Science of Spontaneous Order,100.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2000
9,46383,A Grave Denied,20.0,Misterio,Suspenso,0-1000,Ingles,mas de 500,Antes del 2000
10,26192,Compromising Positions,20.0,Suspenso,Romance,mas de 3000,Ingles,300-500,Antes del 2012 
