ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
838,A Connecticut Yankee in King Arthurs Court,800.0,Aventura,Comedia,1000-2000,Ingles,100-300,Antes del 2012 ,0
51521,CINCO HISTORIAS De Animales Te Cuento: VAROLES MORALES / ENSEÑANZA PARA LA VIDA,-440.0,Ninguno,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2000,0
26375,The Various Haunts of Men,860.0,Misterio,Suspenso,1000-2000,Ingles,100-300,Antes del 2012 ,1
30226,Poesia - II,-440.0,Ninguno,Ninguno,mas de 3000,Portugues,mas de 500,Antes del 2000,1
26375,The Various Haunts of Men,860.0,Misterio,Suspenso,1000-2000,Ingles,100-300,Antes del 2012 ,2
51521,CINCO HISTORIAS De Animales Te Cuento: VAROLES MORALES / ENSEÑANZA PARA LA VIDA,-440.0,Ninguno,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2000,2
26375,The Various Haunts of Men,860.0,Misterio,Suspenso,1000-2000,Ingles,100-300,Antes del 2012 ,3
21724,El sueño creador,-380.0,Ninguno,Ninguno,0-1000,Español,mas de 500,Antes del 2000,3
36744,Last of the Amazons,920.0,Fantasia,Guerra,2000-3000,Ingles,100-300,Antes del 2012 ,4
32157,Honorine,-440.0,Romance,Ninguno,mas de 3000,Otro,mas de 500,Antes del 2000,4
