ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
51972,黒執事 XVII Kuroshitsuji XVII,520.0,Misterio,Fantasia,0-1000,Japones,mas de 500,Antes del 2012 ,0
23566,Lady Dread,-440.0,Terror/Horror,Fantasia,mas de 3000,Ingles,0-100,Antes del 2012 ,0
51879,黒執事 XV Kuroshitsuji XV,520.0,Misterio,Fantasia,0-1000,Japones,mas de 500,Antes del 2012 ,1
26220,"Valkyrie -The vampire princess’s Clothes (Valkyrie -The vampire princess,#0)",-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,1
28876,NARUTO -ナルト- イタチ真伝 光明篇 Naruto: Itachi Shinden — Kōmyō-hen,320.0,Guerra,Fantasia,mas de 3000,Japones,100-300,Antes del 2012 ,2
25418,"God Is Great, God Is Good: Why Believing In God Is Reasonable And Responsible",-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,2
30253,NARUTO -ナルト- イタチ真伝 暗夜篇 Naruto: Itachi Shinden — Anya-hen,600.0,Guerra,Fantasia,mas de 3000,Japones,300-500,Antes del 2000,3
24341,Aristotle: Selections,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,3
30253,NARUTO -ナルト- イタチ真伝 暗夜篇 Naruto: Itachi Shinden — Anya-hen,600.0,Guerra,Fantasia,mas de 3000,Japones,300-500,Antes del 2000,4
24341,Aristotle: Selections,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,4
30253,NARUTO -ナルト- イタチ真伝 暗夜篇 Naruto: Itachi Shinden — Anya-hen,600.0,Guerra,Fantasia,mas de 3000,Japones,300-500,Antes del 2000,5
24341,Aristotle: Selections,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,5
30253,NARUTO -ナルト- イタチ真伝 暗夜篇 Naruto: Itachi Shinden — Anya-hen,600.0,Guerra,Fantasia,mas de 3000,Japones,300-500,Antes del 2000,6
43446,Answering Islam: The Crescent in Light of the Cross,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,6
40369,86 ―エイティシックス― Light Novel,660.0,Guerra,Ciencia Ficcion,0-1000,Japones,300-500,Antes del 2012 ,7
43446,Answering Islam: The Crescent in Light of the Cross,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,7
40369,86 ―エイティシックス― Light Novel,660.0,Guerra,Ciencia Ficcion,0-1000,Japones,300-500,Antes del 2012 ,8
43410,Summary of Lean In: by Sheryl Sandberg | Includes Analysis,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,8
11551,傷物語 Kizumonogatari,320.0,Fantasia,Terror/Horror,mas de 3000,Japones,100-300,Antes del 2012 ,9
43378,The Transformation,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,9
41070,空ろの箱と零のマリア 4 Utsuro No Hako To Zero No Maria 4,860.0,Fantasia,Suspenso,0-1000,Japones,300-500,Antes del 2000,10
23602,لعبة الأمم,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,10
36050,美少女戦士セーラームーン新装版 12 Bishōjo Senshi Sailor Moon Shinsōban 12,520.0,Fantasia,Romance,mas de 3000,Japones,mas de 500,Antes del 2012 ,11
45659,The Tyranny of Socialism,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,11
8590,Be With You 今会いにゆきます,800.0,Fantasia,Romance,mas de 3000,Japones,300-500,Antes del 2000,12
48615,To Save America: Stopping Obamas Secular-Socialist Machine,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,12
22235,"Hanatsukihime, Vol. 01",720.0,Fantasia,Romance,0-1000,Japones,mas de 500,Antes del 2012 ,13
45290,Marcovaldo,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,13
39615,"警視庁特犯課007 Keishichou Tokuhanka 007, Volume 1",720.0,Fantasia,Romance,0-1000,Japones,100-300,Antes del 2012 ,14
45198,"The Black Sea of Roses (Poetry, #12).",-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,14
39615,"警視庁特犯課007 Keishichou Tokuhanka 007, Volume 1",720.0,Fantasia,Romance,0-1000,Japones,100-300,Antes del 2012 ,15
48088,Theodore Roosevelt on Leadership: Executive Lessons from the Bully Pulpit,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,15
40945,ヴァンパイア騎士 10,860.0,Fantasia,Romance,0-1000,Japones,mas de 500,Antes del 2000,16
37068,The New Penguin History of the World,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,16
41774,ヴァンパイア騎士 8,1000.0,Fantasia,Romance,0-1000,Japones,300-500,Antes del 2000,17
36835,My 60 Memorable Games,-440.0,Ninguno,Ninguno,mas de 3000,Ingles,0-100,Antes del 2012 ,17
