,ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion
0,26409,Eleven,20.0,Comedia,Romance,mas de 3000,Ingles,mas de 500,Antes del 2000
1,26409,Eleven,20.0,Comedia,Romance,mas de 3000,Ingles,mas de 500,Antes del 2000
2,40901,"Gravitation, Volume 03",160.0,Romance,Comedia,mas de 3000,Ingles,300-500,Antes del 2000
3,40901,"Gravitation, Volume 03",160.0,Romance,Comedia,mas de 3000,Ingles,300-500,Antes del 2000
4,4703,Echo,20.0,Romance,Fantasia,mas de 3000,Ingles,100-300,Antes del 2000
5,4703,Echo,20.0,Romance,Fantasia,mas de 3000,Ingles,100-300,Antes del 2000
6,46827,After the Fear,20.0,Romance,Ciencia Ficcion,1000-2000,Ingles,100-300,Antes del 2000
7,46827,After the Fear,20.0,Romance,Ciencia Ficcion,1000-2000,Ingles,100-300,Antes del 2000
8,39987,The Blue Zone,20.0,Policial,Drama,mas de 3000,Ingles,300-500,Antes del 2000
9,39987,The Blue Zone,20.0,Policial,Drama,mas de 3000,Ingles,300-500,Antes del 2000
10,16127,Troy,160.0,Romance,Fantasia,2000-3000,Ingles,100-300,Antes del 2000
11,16127,Troy,160.0,Romance,Fantasia,2000-3000,Ingles,100-300,Antes del 2000
