ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
13918,Wildfire,300.0,Fantasia,Romance,2000-3000,Ingles,300-500,Antes del 2000,0
12553,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,0
35982,Fate／Zero（4）散りゆく者たち Chiriyukumonotachi,320.0,Fantasia,Ninguno,0-1000,Japones,100-300,Antes del 2012 ,1
72,One Flew Over the Cuckoos Nest,-440.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Ultima Decada,1
33658,Teppū 1,400.0,Ninguno,Ninguno,0-1000,Japones,0-100,Antes del 2000,2
45650,Bonnets And Puppies,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,2
33658,Teppū 1,400.0,Ninguno,Ninguno,0-1000,Japones,0-100,Antes del 2000,3
43839,Aftershock,-500.0,Aventura,Accion,0-1000,Ingles,0-100,Ultima Decada,3
19888,The Cake Shop in the Garden,160.0,Romance,Ninguno,2000-3000,Ingles,100-300,Antes del 2000,4
31746,Strands of Starlight,-440.0,Fantasia,Ciencia Ficcion,0-1000,Ingles,0-100,Antes del 2012 ,4
19888,The Cake Shop in the Garden,160.0,Romance,Ninguno,2000-3000,Ingles,100-300,Antes del 2000,5
3217,"You Really Are Full of Shit, Arent You?",-440.0,Comedia,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,5
31596,深夜食堂 1 Shinʼya shokudō 1,520.0,Ninguno,Ninguno,mas de 3000,Japones,mas de 500,Antes del 2000,6
3217,"You Really Are Full of Shit, Arent You?",-440.0,Comedia,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,6
31596,深夜食堂 1 Shinʼya shokudō 1,520.0,Ninguno,Ninguno,mas de 3000,Japones,mas de 500,Antes del 2000,7
22208,A Prince Among Killers,-440.0,Fantasia,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,7
38025,Mononoke (manga),380.0,Terror/Horror,Fantasia,mas de 3000,Japones,mas de 500,Antes del 2012 ,8
6556,Bambi,-440.0,Fantasia,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,8
11792,Valeria al desnudo,160.0,Romance,Ninguno,mas de 3000,Español,300-500,Antes del 2000,9
23174,The Master Builder,-440.0,Drama,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,9
36133,Voyager,300.0,Romance,Fantasia,2000-3000,Ingles,300-500,Antes del 2000,10
10804,Rock Springs,-440.0,Western,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,10
28876,NARUTO -ナルト- イタチ真伝 光明篇 Naruto: Itachi Shinden — Kōmyō-hen,380.0,Guerra,Fantasia,mas de 3000,Japones,100-300,Antes del 2012 ,11
17059,Treasures of the Snow,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,11
31254,"Pika Ichi, Vol. 01",580.0,Drama,Romance,mas de 3000,Japones,mas de 500,Antes del 2012 ,12
36695,Cunt-Ups,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,12
31254,"Pika Ichi, Vol. 01",580.0,Drama,Romance,mas de 3000,Japones,mas de 500,Antes del 2012 ,13
33091,Лучший экипаж Солнечной,-440.0,Ciencia Ficcion,Ninguno,0-1000,Ruso,0-100,Antes del 2012 ,13
35001,How to Save a Life,160.0,Romance,Ninguno,2000-3000,Ingles,300-500,Antes del 2012 ,14
48365,1876,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,14
35001,How to Save a Life,160.0,Romance,Ninguno,2000-3000,Ingles,300-500,Antes del 2012 ,15
36658,The Practice of Godliness,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,15
35001,How to Save a Life,160.0,Romance,Ninguno,2000-3000,Ingles,300-500,Antes del 2012 ,16
18642,In the Land of Milk and Honey,-440.0,Aventura,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,16
2795,Ethereal Fury,160.0,Romance,Ciencia Ficcion,mas de 3000,Ingles,300-500,Antes del 2000,17
8298,It Comes Natural - Understanding Natural and Integrative Medicine,-440.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Ultima Decada,17
31214,Call Me Cat,220.0,Romance,Suspenso,2000-3000,Otro,300-500,Antes del 2012 ,18
50744,Zibaldone,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,18
24451,花のみぞ知る 3 Hana no mizoshiru 3,800.0,Romance,Ninguno,0-1000,Japones,300-500,Antes del 2000,19
50744,Zibaldone,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,19
24451,花のみぞ知る 3 Hana no mizoshiru 3,800.0,Romance,Ninguno,0-1000,Japones,300-500,Antes del 2000,20
27297,Shipwrecks,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,20
2630,My Blood Approves,160.0,Fantasia,Romance,2000-3000,Ingles,mas de 500,Antes del 2000,21
