ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion,corrida
22580,Worth the Weight,160.0,Romance,Comedia,2000-3000,Ingles,100-300,Antes del 2000,0
21031,I.S.S.E: Be healthy be limitless,-440.0,Ninguno,Ninguno,0-1000,Otro,0-100,Antes del 2012 ,0
35901,世界一初恋 ～小野寺律の場合6～ Sekaiichi Hatsukoi - Onodera Ritsu no Baai 6,860.0,Comedia,Romance,mas de 3000,Japones,300-500,Antes del 2000,1
23922,Tuttles House of Horror with Drums of the Nunnehi,-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,1
35901,世界一初恋 ～小野寺律の場合6～ Sekaiichi Hatsukoi - Onodera Ritsu no Baai 6,860.0,Comedia,Romance,mas de 3000,Japones,300-500,Antes del 2000,2
5950,Seras-tu là?,-440.0,Fantasia,Misterio,0-1000,Frances,0-100,Antes del 2012 ,2
33286,Good Luck,160.0,Romance,Ninguno,mas de 3000,Ingles,300-500,Antes del 2000,3
5478,Complete Works of Oscar Wilde,-440.0,Comedia,Drama,0-1000,Ingles,0-100,Antes del 2012 ,3
31490,NARUTO -ナルト- サスケ真伝 来光篇 Naruto: Sasuke Shinden — Anya-hen,320.0,Fantasia,Ninguno,0-1000,Japones,mas de 500,Antes del 2012 ,4
30922,Been So Long 2 (Body And Soul),-440.0,Ninguno,Ninguno,0-1000,Ingles,0-100,Antes del 2012 ,4
