,ID,titulo,aptitud,genero,subgenero,precio,idioma,numero_paginas,fechaPublicacion
0,2950,The Basketball Diaries,520.0,Drama,Suspenso,0-1000,Ingles,300-500,Antes del 2012 
1,11472,The Underworld,460.0,Fantasia,Romance,1000-2000,Ingles,mas de 500,Antes del 2000
2,27971,Born of Blood,400.0,Ninguno,Ninguno,mas de 3000,Ingles,300-500,Antes del 2012 
3,7803,The Golden Bough,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
4,12705,Witchling,320.0,Fantasia,Romance,0-1000,Ingles,mas de 500,Antes del 2012 
5,12761,When the Butterflies Came,320.0,Fantasia,Misterio,0-1000,Ingles,100-300,Antes del 2012 
6,37026,Marrakesh Nights,260.0,Ninguno,Ninguno,mas de 3000,Ingles,mas de 500,Antes del 2012 
7,34067,Riding Rockets: The Outrageous Tales of a Space Shuttle Astronaut,260.0,Biopic,Aventura,mas de 3000,Ingles,mas de 500,Antes del 2012 
8,16657,Cat Among the Pigeons,460.0,Policial,Suspenso,mas de 3000,Ingles,300-500,Antes del 2000
9,13674,The Reckoning,400.0,Fantasia,Romance,mas de 3000,Ingles,300-500,Antes del 2012 
10,13674,The Reckoning,400.0,Fantasia,Romance,mas de 3000,Ingles,300-500,Antes del 2012 
11,5794,Raven Rise,400.0,Aventura,Ciencia Ficcion,1000-2000,Ingles,0-100,Antes del 2000
12,15392,Gallows Hill,380.0,Fantasia,Suspenso,0-1000,Ingles,100-300,Antes del 2000
13,31703,The World of Throne of Glass,320.0,Fantasia,Romance,0-1000,Ingles,mas de 500,Antes del 2012 
14,21462,If They Cant Take a Joke: Confrontational Humor for the Casual Bibliophile,320.0,Ninguno,Ninguno,0-1000,Ingles,100-300,Antes del 2000
15,8769,Emotional Intelligence 2.0,320.0,Ninguno,Ninguno,0-1000,Ingles,100-300,Antes del 2012 
16,50777,The Tanglewoods Secret,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 
17,10115,Trumpet,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 
18,28549,The Blind Man of Seville,320.0,Misterio,Suspenso,mas de 3000,Ingles,mas de 500,Antes del 2000
19,5312,The Street Lawyer,260.0,Suspenso,Policial,mas de 3000,Ingles,0-100,Antes del 2012 
20,1136,The French Lieutenants Woman,260.0,Romance,Ninguno,0-1000,Ingles,0-100,Antes del 2012 
21,42943,The Misadventures of Maude March,260.0,Comedia,Aventura,mas de 3000,Ingles,mas de 500,Antes del 2012 
22,18653,On The Intuitive Spectrum: A Deeper Look into the Amazing Value of Intuition,460.0,Ninguno,Ninguno,1000-2000,Ingles,mas de 500,Antes del 2000
23,16156,The Chant of Jimmie Blacksmith,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 
24,25678,How I Paint: Secrets of a Sunday Painter,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2012 
25,28145,A Note in the Margin,320.0,Romance,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
26,4110,Getting Things Done: The Art of Stress-Free Productivity,320.0,Ninguno,Ninguno,0-1000,Ingles,mas de 500,Antes del 2000
27,46156,An Introduction to the Old Testament,260.0,Ninguno,Ninguno,mas de 3000,Ingles,mas de 500,Antes del 2000
28,39015,The Secret History,260.0,Biopic,Ninguno,0-1000,Ingles,0-100,Antes del 2000
29,22350,On Having No Head: Zen and the Rediscovery of the Obvious,460.0,Ninguno,Ninguno,0-1000,Ingles,300-500,Antes del 2012 
